ffo_bat_usage_niveau_1_txt;ffo_bat_mat_mur_txt;code_departement_insee;periode_construction;sum_batiment;sum_logement;sum_logement_vacant;sum_logement_loue;sum_logement_sociaux;sum_hlm;sum_logement_proprio;sum_shab;sum_sloc
Résidentiel collectif;agglo;2B;P3;978;9725;1362;3666;1462;1437;4146;597848;761243
Résidentiel collectif;agglo;2B;P4;162;1402;144;417;52;33;717;90500;120086
Résidentiel collectif;agglo;2B;P5;51;1002;63;210;56;56;310;51718;78515
Résidentiel collectif;agglo;2B;P6;20;325;45;139;51;51;110;19634;29594
Résidentiel collectif;agglo;30;P0;412;1465;341;674;48;39;403;88938;118291
Résidentiel collectif;agglo;30;P1;155;497;127;160;68;68;184;31285;41738
Résidentiel collectif;agglo;30;P2;1014;10838;1320;5152;2011;2011;4165;675554;859955
Résidentiel collectif;agglo;30;P3;815;10367;890;4394;2937;2613;4830;545478;718914
Résidentiel collectif;agglo;30;P4;217;2220;200;1290;578;521;615;131790;179123
Résidentiel collectif;agglo;30;P5;69;501;45;330;38;38;106;32239;41201
Résidentiel collectif;agglo;30;P6;27;356;55;261;240;240;22;21822;29448
Résidentiel collectif;agglo;31;P0;168;838;164;455;48;48;202;40098;52546
Résidentiel collectif;agglo;31;P1;108;363;64;181;13;13;112;18915;24371
Résidentiel collectif;agglo;31;P2;273;3964;551;2781;2313;2313;598;234841;274472
Résidentiel collectif;agglo;31;P3;62;794;80;366;99;99;308;45827;60650
Résidentiel collectif;agglo;31;P4;135;4062;413;2450;967;967;1110;217573;271285
Résidentiel collectif;agglo;31;P5;24;875;104;642;178;178;122;51213;66944
Résidentiel collectif;agglo;31;P6;13;498;60;427;385;385;9;28299;41679
Résidentiel collectif;agglo;32;P0;30;96;25;55;0;0;16;6594;9741
Résidentiel collectif;agglo;32;P1;5;15;0;14;0;0;1;832;1165
Résidentiel collectif;agglo;32;P2;70;391;86;243;167;167;53;25882;32145
Résidentiel collectif;agglo;32;P3;31;333;80;185;52;52;54;17236;22573
Résidentiel collectif;agglo;32;P4;15;83;9;64;24;24;10;5170;6581
Résidentiel collectif;agglo;32;P5;6;98;17;60;17;17;19;6705;8499
Résidentiel collectif;agglo;32;P6;3;24;6;18;0;0;0;1506;1850
Résidentiel collectif;agglo;33;P0;275;1118;162;634;18;18;290;62631;78972
Résidentiel collectif;agglo;33;P1;176;571;69;267;21;21;222;29550;36761
Résidentiel collectif;agglo;33;P2;301;7097;523;5466;4501;4501;1033;465524;560207
Résidentiel collectif;agglo;33;P3;75;1790;118;1297;954;954;246;105658;122903
Résidentiel collectif;agglo;33;P4;93;2271;187;1643;1040;1040;364;126267;148587
